date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:02	23240/23240	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Jan%202023%2007:58:11%20GMT	https://jorgehrdina.com.au/wp-json/wp/v2/avada_portfolio/89	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/wp/v2/avada_portfolio/89.json	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:03	2720/2720	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Jan%202023%2007:58:11%20GMT	https://jorgehrdina.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjorgehrdina.com.au%2Fproject%2Fcastlecrag%2F	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/oembed/1.0/embed3318.json	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Jan%202023%2007:58:11%20GMT	https://jorgehrdina.com.au/?p=89	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/index3fbb.html	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:03	2822/2822	---MCZ	200	added ('OK')	text/xml	date:Mon,%2016%20Jan%202023%2007:58:12%20GMT	https://jorgehrdina.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjorgehrdina.com.au%2Fproject%2Fcastlecrag%2F&format=xml	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/oembed/1.0/embed3532	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Jan%202023%2007:58:12%20GMT	https://jorgehrdina.com.au/project/castlecrag/%22https://jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-banner-img.jpg%22	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/project/castlecrag/_https_/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-banner-img.jpg_	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:04	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jan%202023%2007:58:13%20GMT	https://jorgehrdina.com.au/project/castlecrag/https:/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-banner-img.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/project/castlecrag/https_/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-banner-img.jpg	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:08	829538/829538	---M--	200	added ('OK')	image/webp	etag:%2262a28c25-ca862%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-2.webp	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-2.webp	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:08	653663/653663	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c25-9f95f%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-4.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-4.jpg	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:10	311035/311035	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c25-4befb%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-1.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-1.jpg	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:10	939804/939804	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c25-e571c%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-5.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-5.jpg	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:10	749109/749109	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c25-b6e35%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-6.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-6.jpg	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:10	449622/449622	---M--	200	added ('OK')	image/jpeg	etag:%2262a28c25-6dc56%22	https://jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-7.jpg	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-content/uploads/2022/02/castlecrag-slider-img-7.jpg	(from https://jorgehrdina.com.au/project/castlecrag/)
10:59:11	27242/27242	---MCZ	200	added ('OK')	application/json	date:Mon,%2016%20Jan%202023%2007:58:19%20GMT	https://jorgehrdina.com.au/wp-json/wp/v2/avada_portfolio/75	C:/My%20Web%20Sites/ZIAS/jorgehrdina.com.au/wp-json/wp/v2/avada_portfolio/75.json	(from https://jorgehrdina.com.au/project/vaucluse/)
